DATE,TMAX,NORM,NORM_KS
2005-01-01,51.0,0.5192307692307693,0.5192307692307693
2005-01-02,34.0,0.3557692307692308,0.3557692307692308
2005-01-03,49.0,0.5,0.5
2005-01-04,28.0,,0.44641079331415945
2005-01-05,7.0,,0.4367954101756414
2005-01-06,41.0,,0.4271800270371233
2005-01-07,31.0,,0.41756464389860526
2005-01-08,48.0,,0.4079492607600872
2005-01-09,59.0,0.5961538461538461,0.5961538461538461
2005-01-10,55.0,0.5576923076923077,0.5576923076923077
2005-01-11,41.0,0.42307692307692313,0.42307692307692313
2005-01-12,31.0,0.3269230769230769,0.3269230769230769
2005-01-13,40.0,0.4134615384615385,0.4134615384615385
2005-01-14,45.0,0.46153846153846156,0.46153846153846156
2005-01-15,44.0,0.451923076923077,0.451923076923077
2005-01-16,45.0,0.46153846153846156,0.46153846153846156
2005-01-17,48.0,0.4903846153846154,0.4903846153846154
2005-01-18,57.0,0.576923076923077,0.576923076923077
2005-01-19,65.0,0.6538461538461539,0.6538461538461539
2005-01-20,68.0,0.6826923076923077,0.6826923076923077
2005-01-21,61.0,0.6153846153846154,0.6153846153846154
2005-01-22,47.0,0.4807692307692308,0.4807692307692308
2005-01-23,67.0,0.6730769230769231,0.6730769230769231
2005-01-24,64.0,0.6442307692307693,0.6442307692307693
2005-01-25,57.0,0.576923076923077,0.576923076923077
2005-01-26,51.0,0.5192307692307693,0.5192307692307693
2005-01-27,51.0,0.5192307692307693,0.5192307692307693
2005-01-28,50.0,0.5096153846153846,0.5096153846153846
2005-01-29,42.0,,0.5291112739332163
2005-01-30,37.0,,0.5312124110710061
2005-01-31,34.0,,0.533313548208796
2005-02-01,36.0,,0.5354146853465858
2005-02-02,41.0,,0.5375158224843756
2005-02-03,50.0,0.5096153846153846,0.5096153846153846
2005-02-04,56.0,0.5673076923076924,0.5673076923076924
2005-02-05,58.0,0.5865384615384616,0.5865384615384616
2005-02-06,37.0,0.38461538461538464,0.38461538461538464
2005-02-07,37.0,0.38461538461538464,0.38461538461538464
2005-02-08,34.0,,0.42707435654961096
2005-02-09,44.0,,0.42584700303719675
2005-02-10,55.0,,0.42461964952478254
2005-02-11,58.0,,0.42339229601236833
2005-02-12,56.0,,0.4221649424999541
2005-02-13,58.0,0.5865384615384616,0.5865384615384616
2005-02-14,61.0,0.6153846153846154,0.6153846153846154
2005-02-15,34.0,0.3557692307692308,0.3557692307692308
2005-02-16,28.0,0.29807692307692313,0.29807692307692313
2005-02-17,52.0,0.5288461538461539,0.5288461538461539
2005-02-18,44.0,,0.45505002622929797
2005-02-19,62.0,,0.45467961716718563
2005-02-20,56.0,,0.4543092081050733
2005-02-21,57.0,,0.45393879904296097
2005-02-22,46.0,,0.45356838998084864
2005-02-23,40.0,0.4134615384615385,0.4134615384615385
2005-02-24,49.0,0.5,0.5
2005-02-25,51.0,0.5192307692307693,0.5192307692307693
2005-02-26,49.0,0.5,0.5
2005-02-27,45.0,0.46153846153846156,0.46153846153846156
2005-02-28,47.0,,0.47936677511117
2005-03-01,51.0,,0.47948823712512584
2005-03-02,51.0,,0.4796096991390817
2005-03-03,54.0,,0.47973116115303754
2005-03-04,58.0,,0.4798526231669934
2005-03-05,62.0,,0.47997408518094925
2005-03-06,64.0,,0.4800955471949051
2005-03-07,52.0,,0.48021700920886096
2005-03-08,48.0,,0.4803384712228168
2005-03-09,63.0,,0.48045993323677266
2005-03-10,52.0,0.5288461538461539,0.5288461538461539
2005-03-11,67.0,0.6730769230769231,0.6730769230769231
2005-03-12,67.0,0.6730769230769231,0.6730769230769231
2005-03-13,28.0,0.29807692307692313,0.29807692307692313
2005-03-14,27.0,0.2884615384615385,0.2884615384615385
2005-03-15,36.0,0.375,0.375
2005-03-16,48.0,0.4903846153846154,0.4903846153846154
2005-03-17,55.0,0.5576923076923077,0.5576923076923077
2005-03-18,42.0,0.4326923076923077,0.4326923076923077
2005-03-19,57.0,0.576923076923077,0.576923076923077
2005-03-20,56.0,,0.5217651435326858
2005-03-21,48.0,,0.5224059053926674
2005-03-22,51.0,,0.523046667252649
2005-03-23,49.0,,0.5236874291126307
2005-03-24,36.0,,0.5243281909726123
2005-03-25,30.0,0.31730769230769235,0.31730769230769235
2005-03-26,37.0,0.38461538461538464,0.38461538461538464
2005-03-27,63.0,0.6346153846153847,0.6346153846153847
2005-03-28,73.0,0.7307692307692308,0.7307692307692308
2005-03-29,52.0,0.5288461538461539,0.5288461538461539
2005-03-30,49.0,,0.5769651432279799
2005-03-31,41.0,,0.5781669592735775
2005-04-01,60.0,,0.5793687753191752
2005-04-02,64.0,,0.5805705913647728
2005-04-03,72.0,,0.5817724074103705
2005-04-04,69.0,0.6923076923076924,0.6923076923076924
2005-04-05,51.0,0.5192307692307693,0.5192307692307693
2005-04-06,59.0,0.5961538461538461,0.5961538461538461
2005-04-07,70.0,0.701923076923077,0.701923076923077
2005-04-08,68.0,0.6826923076923077,0.6826923076923077
2005-04-09,60.0,0.6057692307692308,0.6057692307692308
2005-04-10,38.0,0.3942307692307693,0.3942307692307693
2005-04-11,41.0,0.42307692307692313,0.42307692307692313
2005-04-12,50.0,0.5096153846153846,0.5096153846153846
2005-04-13,58.0,0.5865384615384616,0.5865384615384616
2005-04-14,69.0,,0.5391733020301848
2005-04-15,49.0,,0.5398276828385825
2005-04-16,69.0,,0.5404820636469803
2005-04-17,70.0,,0.541136444455378
2005-04-18,75.0,,0.5417908252637758
2005-04-19,65.0,,0.5424452060721735
2005-04-20,53.0,,0.5430995868805713
2005-04-21,62.0,,0.543753967688969
2005-04-22,55.0,,0.5444083484973667
2005-04-23,66.0,,0.5450627293057645
2005-04-24,47.0,,0.5457171101141622
2005-04-25,52.0,,0.54637149092256
2005-04-26,61.0,,0.5470258717309577
2005-04-27,62.0,,0.5476802525393555
2005-04-28,37.0,,0.5483346333477532
2005-04-29,31.0,,0.548989014156151
2005-04-30,46.0,,0.5496433949645487
2005-05-01,40.0,,0.5502977757729465
2005-05-02,50.0,,0.5509521565813442
2005-05-03,59.0,,0.551606537389742
2005-05-04,66.0,0.6634615384615385,0.6634615384615385
2005-05-05,72.0,0.7211538461538461,0.7211538461538461
2005-05-06,74.0,0.7403846153846154,0.7403846153846154
2005-05-07,62.0,0.625,0.625
2005-05-08,67.0,0.6730769230769231,0.6730769230769231
2005-05-09,75.0,0.75,0.75
2005-05-10,77.0,0.7692307692307693,0.7692307692307693
2005-05-11,54.0,0.5480769230769231,0.5480769230769231
2005-05-12,61.0,0.6153846153846154,0.6153846153846154
2005-05-13,63.0,0.6346153846153847,0.6346153846153847
2005-05-14,67.0,0.6730769230769231,0.6730769230769231
