DATE,STATION,NAME,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,TARGET
2006-02-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.05,0.0,0.0,0.0,53.0,22.0,20.0,30.0,21.0,25.1,47.0
2006-02-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.3,0.0,0.0,0.0,47.0,23.0,310.0,310.0,25.9,30.0,44.0
2006-02-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,44.0,22.0,340.0,340.0,36.9,46.1,53.0
2006-02-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,53.0,16.0,140.0,140.0,21.0,23.9,46.0
2006-02-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",16.78,0.0,0.0,0.0,46.0,19.0,10.0,10.0,36.0,42.9,45.0
2006-02-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,45.0,17.0,220.0,110.0,15.0,17.0,51.0
2006-02-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.83,0.0,0.0,0.0,51.0,14.0,170.0,220.0,14.1,15.0,61.0
2006-02-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,61.0,23.0,280.0,330.0,16.1,19.9,57.0
2006-02-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.88,0.03,1.9,0.0,57.0,20.0,30.0,40.0,31.1,36.0,25.0
2006-02-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.02,0.2,2.0,25.0,9.0,10.0,360.0,25.9,32.0,35.0
2006-02-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.93,0.0,0.0,2.0,35.0,5.0,300.0,300.0,14.1,16.1,53.0
2006-02-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.62,0.0,0.0,2.0,53.0,11.0,30.0,20.0,19.9,23.0,51.0
2006-02-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.84,0.0,0.0,0.0,51.0,24.0,210.0,210.0,17.0,21.0,60.0
2006-02-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,60.0,30.0,60.0,60.0,30.0,36.9,45.0
2006-02-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",16.11,0.05,0.5,0.0,45.0,20.0,160.0,170.0,30.0,34.9,21.0
2006-02-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.04,0.4,1.0,21.0,3.0,310.0,310.0,32.0,36.9,14.0
2006-02-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.74,0.01,0.0,1.0,14.0,-10.0,60.0,40.0,21.0,23.9,7.0
2006-02-18,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.14,0.0,0.0,1.0,7.0,-13.0,160.0,40.0,10.1,13.0,21.0
2006-02-19,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.59,0.0,0.0,1.0,21.0,-4.0,200.0,200.0,15.0,17.0,43.0
2006-02-20,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,43.0,6.0,300.0,300.0,28.0,32.0,42.0
2006-02-21,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.07,0.0,0.0,0.0,42.0,11.0,20.0,360.0,19.9,23.9,45.0
2006-02-22,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.84,0.0,0.0,0.0,45.0,13.0,280.0,270.0,23.9,32.0,54.0
2006-02-23,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,54.0,16.0,180.0,290.0,15.0,17.0,58.0
2006-02-24,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,58.0,24.0,80.0,80.0,19.9,23.9,47.0
2006-02-25,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.82,0.0,0.0,0.0,47.0,12.0,160.0,170.0,12.1,13.0,63.0
2006-02-26,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,63.0,24.0,230.0,230.0,17.9,21.0,73.0
2006-02-27,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,73.0,38.0,260.0,250.0,21.9,25.1,77.0
2006-02-28,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,77.0,44.0,200.0,190.0,23.0,25.9,59.0
2006-03-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.32,0.0,0.0,0.0,59.0,28.0,330.0,300.0,36.9,42.9,58.0
2006-03-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.86,0.0,0.0,0.0,58.0,22.0,170.0,170.0,23.9,29.1,67.0
2006-03-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,67.0,28.0,190.0,190.0,23.9,28.0,69.0
2006-03-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.0,0.0,0.0,69.0,32.0,220.0,240.0,29.1,34.9,64.0
2006-03-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,64.0,28.0,180.0,180.0,17.9,19.9,70.0
2006-03-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,70.0,34.0,180.0,190.0,23.0,28.0,66.0
2006-03-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.97,0.0,0.0,0.0,66.0,37.0,270.0,260.0,34.9,42.9,44.0
2006-03-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.83,0.2,1.6,0.0,44.0,27.0,40.0,30.0,19.9,23.0,47.0
2006-03-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.83,0.0,0.0,1.0,47.0,15.0,20.0,20.0,23.0,25.1,33.0
2006-03-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.72,0.0,0.0,0.0,33.0,22.0,310.0,40.0,17.0,19.9,40.0
2006-03-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,40.0,19.0,310.0,20.0,21.9,25.1,32.0
2006-03-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.03,1.3,0.0,32.0,21.0,350.0,340.0,21.0,23.9,38.0
2006-03-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.82,0.0,0.0,1.0,38.0,14.0,310.0,310.0,17.9,23.0,53.0
2006-03-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.3,0.0,0.0,0.0,53.0,13.0,210.0,200.0,21.0,25.9,62.0
2006-03-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",18.79,0.0,0.0,0.0,62.0,28.0,290.0,290.0,42.9,51.9,53.0
2006-03-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.0,0.0,0.0,53.0,16.0,140.0,130.0,25.1,31.1,47.0
2006-03-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,47.0,23.0,300.0,310.0,16.1,17.9,52.0
2006-03-18,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,52.0,22.0,310.0,310.0,23.9,25.9,43.0
2006-03-19,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.17,0.5,0.0,43.0,25.0,10.0,20.0,29.1,32.0,25.0
2006-03-20,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.87,0.16,5.0,1.0,25.0,16.0,40.0,20.0,23.9,29.1,24.0
2006-03-21,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.61,0.0,0.2,3.0,24.0,11.0,70.0,70.0,17.9,21.0,30.0
2006-03-22,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.14,0.0,0.0,1.0,30.0,17.0,300.0,20.0,10.1,12.1,44.0
2006-03-23,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.71,0.0,0.0,0.0,44.0,23.0,190.0,60.0,13.0,17.0,56.0
2006-03-24,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,56.0,24.0,110.0,120.0,19.9,21.9,65.0
2006-03-25,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,65.0,29.0,150.0,150.0,23.0,25.9,61.0
2006-03-26,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",16.33,0.0,0.0,0.0,61.0,30.0,270.0,270.0,45.0,51.9,52.0
2006-03-27,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,52.0,22.0,160.0,110.0,17.9,23.0,68.0
2006-03-28,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,68.0,28.0,210.0,100.0,21.0,23.9,72.0
2006-03-29,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.65,0.0,0.0,0.0,72.0,39.0,210.0,210.0,31.1,38.0,61.0
2006-03-30,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,61.0,38.0,300.0,320.0,25.1,30.0,67.0
2006-03-31,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.87,0.0,0.0,0.0,67.0,27.0,150.0,150.0,29.1,32.0,66.0
2006-04-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.5,0.0,0.0,0.0,66.0,34.0,340.0,310.0,28.0,33.1,61.0
2006-04-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.76,0.0,0.0,0.0,61.0,30.0,300.0,280.0,38.9,44.1,62.0
2006-04-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.05,0.0,0.0,0.0,62.0,24.0,180.0,180.0,17.0,19.9,75.0
2006-04-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,75.0,36.0,220.0,210.0,21.0,23.9,79.0
2006-04-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.09,0.0,0.0,0.0,79.0,41.0,220.0,220.0,36.0,47.0,56.0
2006-04-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.74,0.0,0.0,0.0,56.0,30.0,310.0,310.0,30.0,36.0,52.0
2006-04-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",17.0,0.14,0.0,0.0,52.0,26.0,10.0,10.0,40.0,48.1,69.0
2006-04-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.5,0.0,0.0,0.0,69.0,23.0,220.0,220.0,17.0,17.9,78.0
2006-04-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.2,0.0,0.0,0.0,78.0,44.0,180.0,220.0,25.1,31.1,79.0
2006-04-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,79.0,40.0,250.0,230.0,29.1,36.0,65.0
2006-04-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.84,0.0,0.0,0.0,65.0,39.0,20.0,20.0,31.1,36.9,75.0
2006-04-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,75.0,39.0,70.0,70.0,19.9,25.9,85.0
2006-04-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,85.0,40.0,250.0,300.0,19.9,21.9,80.0
2006-04-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.66,0.0,0.0,0.0,80.0,42.0,160.0,150.0,31.1,38.0,68.0
2006-04-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.66,0.21,0.0,0.0,68.0,45.0,300.0,290.0,34.9,42.9,76.0
2006-04-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,76.0,45.0,100.0,90.0,17.0,25.9,83.0
2006-04-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",17.67,0.0,0.0,0.0,83.0,41.0,210.0,210.0,40.0,48.1,53.0
2006-04-18,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.09,0.0,0.0,0.0,53.0,27.0,290.0,270.0,32.0,36.9,60.0
2006-04-19,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,60.0,25.0,260.0,320.0,17.9,21.0,66.0
2006-04-20,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.72,0.0,0.0,0.0,66.0,23.0,80.0,50.0,17.0,19.9,74.0
2006-04-21,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.84,0.0,0.0,0.0,74.0,37.0,160.0,110.0,17.0,19.9,81.0
2006-04-22,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,81.0,45.0,110.0,110.0,21.9,23.9,80.0
2006-04-23,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.21,0.05,0.0,0.0,80.0,37.0,20.0,20.0,34.9,40.0,38.0
2006-04-24,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.62,0.01,0.0,0.0,38.0,26.0,10.0,10.0,17.9,23.0,43.0
2006-04-25,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.59,0.0,0.3,0.0,43.0,25.0,160.0,160.0,13.0,13.0,72.0
2006-04-26,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.05,0.0,0.0,0.0,72.0,27.0,130.0,140.0,17.9,21.9,78.0
2006-04-27,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.63,0.0,0.0,0.0,78.0,41.0,30.0,70.0,28.0,33.1,57.0
2006-04-28,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.2,0.18,0.0,0.0,57.0,36.0,40.0,30.0,28.0,32.0,61.0
2006-04-29,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.42,0.0,0.0,0.0,61.0,39.0,340.0,330.0,36.9,46.1,70.0
2006-04-30,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.93,0.08,0.0,0.0,70.0,41.0,340.0,350.0,30.0,34.9,74.0
2006-05-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.05,0.0,0.0,0.0,74.0,36.0,200.0,200.0,19.9,23.0,79.0
2006-05-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.53,0.0,0.0,0.0,79.0,46.0,30.0,30.0,29.1,34.9,60.0
2006-05-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.62,0.01,0.0,0.0,60.0,42.0,100.0,100.0,19.9,23.9,54.0
2006-05-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.65,0.0,0.0,0.0,54.0,36.0,140.0,140.0,30.0,34.9,50.0
2006-05-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.05,0.0,0.0,0.0,50.0,36.0,310.0,320.0,21.0,23.0,70.0
2006-05-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.93,0.0,0.0,0.0,70.0,30.0,220.0,30.0,23.9,29.1,73.0
2006-05-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,73.0,44.0,280.0,290.0,29.1,34.9,69.0
2006-05-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.5,0.0,0.0,0.0,69.0,46.0,320.0,330.0,31.1,38.0,69.0
2006-05-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.99,0.07,0.0,0.0,69.0,32.0,20.0,20.0,31.1,34.9,62.0
2006-05-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.02,0.2,0.0,62.0,31.0,320.0,330.0,30.0,40.9,68.0
2006-05-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.17,0.0,0.0,0.0,68.0,29.0,220.0,210.0,17.0,21.0,80.0
2006-05-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.63,0.0,0.0,0.0,80.0,42.0,340.0,290.0,23.0,36.0,79.0
2006-05-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.07,0.0,0.0,0.0,79.0,50.0,40.0,30.0,25.1,33.1,72.0
2006-05-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.05,0.0,0.0,0.0,72.0,39.0,60.0,30.0,16.1,21.0,72.0
2006-05-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,72.0,34.0,10.0,20.0,21.0,25.9,80.0
2006-05-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,80.0,39.0,20.0,30.0,21.0,28.0,82.0
2006-05-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.74,0.0,0.0,0.0,82.0,49.0,340.0,350.0,23.9,29.1,87.0
2006-05-18,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.72,0.0,0.0,0.0,87.0,54.0,320.0,10.0,17.9,23.9,89.0
2006-05-19,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.28,0.0,0.0,0.0,89.0,55.0,10.0,30.0,23.9,29.1,87.0
2006-05-20,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.02,0.0,0.0,87.0,50.0,210.0,310.0,28.0,34.9,91.0
2006-05-21,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,91.0,54.0,70.0,80.0,28.0,36.9,88.0
2006-05-22,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.66,0.3,0.0,0.0,88.0,50.0,220.0,220.0,44.1,51.9,79.0
2006-05-23,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.41,0.0,0.0,0.0,79.0,47.0,280.0,270.0,23.9,29.1,83.0
2006-05-24,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,83.0,48.0,110.0,90.0,17.9,25.1,87.0
2006-05-25,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.72,0.01,0.0,0.0,87.0,52.0,210.0,210.0,45.0,53.9,86.0
2006-05-26,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.08,0.0,0.0,0.0,86.0,52.0,110.0,130.0,32.0,36.9,93.0
2006-05-27,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",17.67,0.0,0.0,0.0,93.0,59.0,210.0,200.0,30.0,36.0,88.0
2006-05-28,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.21,0.0,0.0,0.0,88.0,52.0,200.0,260.0,32.0,40.0,75.0
2006-05-29,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.03,0.0,0.0,75.0,38.0,180.0,190.0,36.0,44.1,71.0
2006-05-30,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.17,0.04,0.0,0.0,71.0,48.0,140.0,140.0,19.9,21.9,74.0
2006-05-31,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.44,0.0,0.0,74.0,49.0,50.0,50.0,36.9,40.9,81.0
2006-06-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,81.0,44.0,110.0,120.0,25.9,33.1,92.0
2006-06-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,92.0,55.0,180.0,180.0,23.9,29.1,94.0
2006-06-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.08,0.0,0.0,0.0,94.0,61.0,300.0,300.0,25.1,31.1,90.0
2006-06-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.84,0.0,0.0,0.0,90.0,53.0,190.0,190.0,17.0,21.9,94.0
2006-06-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,94.0,60.0,110.0,100.0,32.0,36.9,95.0
2006-06-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,95.0,58.0,210.0,210.0,21.0,23.9,98.0
2006-06-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.99,0.0,0.0,0.0,98.0,63.0,260.0,10.0,33.1,40.0,92.0
2006-06-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.54,0.0,0.0,0.0,92.0,66.0,220.0,210.0,36.9,48.1,88.0
2006-06-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.93,0.0,0.0,0.0,88.0,58.0,330.0,330.0,31.1,44.1,91.0
2006-06-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.2,0.0,0.0,0.0,91.0,52.0,30.0,30.0,32.0,36.9,92.0
2006-06-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.97,0.0,0.0,0.0,92.0,51.0,220.0,210.0,36.0,47.0,95.0
2006-06-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.0,0.0,0.0,95.0,54.0,200.0,200.0,40.9,53.9,99.0
2006-06-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.65,0.0,0.0,0.0,99.0,63.0,120.0,140.0,29.1,36.0,102.0
2006-06-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",17.9,0.0,0.0,0.0,102.0,64.0,200.0,200.0,33.1,40.9,87.0
2006-06-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.08,0.0,0.0,0.0,87.0,54.0,350.0,310.0,28.0,47.0,76.0
2006-06-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.42,0.02,0.0,0.0,76.0,56.0,310.0,290.0,30.0,40.0,85.0
2006-06-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.83,0.0,0.0,0.0,85.0,53.0,20.0,20.0,16.1,21.0,91.0
2006-06-18,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.61,0.0,0.0,0.0,91.0,58.0,160.0,340.0,30.0,36.9,96.0
2006-06-19,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.3,0.0,0.0,0.0,96.0,53.0,110.0,120.0,31.1,36.9,95.0
2006-06-20,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,95.0,62.0,290.0,290.0,28.0,34.9,82.0
2006-06-21,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.74,0.0,0.0,0.0,82.0,56.0,10.0,20.0,21.0,23.9,78.0
2006-06-22,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.3,0.0,0.0,0.0,78.0,52.0,50.0,50.0,34.9,38.0,90.0
2006-06-23,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.49,0.0,0.0,0.0,90.0,48.0,30.0,30.0,17.9,23.0,82.0
2006-06-24,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.41,0.1,0.0,0.0,82.0,55.0,340.0,120.0,31.1,38.9,74.0
2006-06-25,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.17,0.0,0.0,0.0,74.0,51.0,90.0,80.0,17.9,21.9,81.0
2006-06-26,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.17,0.0,0.0,0.0,81.0,48.0,170.0,40.0,17.0,23.9,87.0
2006-06-27,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,87.0,55.0,170.0,100.0,17.9,25.9,90.0
2006-06-28,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,90.0,57.0,340.0,330.0,29.1,33.1,93.0
2006-06-29,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.28,0.0,0.0,0.0,93.0,58.0,350.0,20.0,16.1,29.1,98.0
2006-06-30,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.17,0.0,0.0,0.0,98.0,62.0,340.0,10.0,21.9,29.1,89.0
2006-07-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.38,0.05,0.0,0.0,89.0,62.0,260.0,260.0,30.0,33.1,91.0
2006-07-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.07,0.0,0.0,0.0,91.0,58.0,170.0,170.0,32.0,36.9,81.0
2006-07-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.38,0.12,0.0,0.0,81.0,59.0,290.0,290.0,25.9,31.1,85.0
2006-07-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,85.0,54.0,50.0,50.0,38.9,46.1,82.0
2006-07-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.43,0.0,0.0,0.0,82.0,55.0,160.0,160.0,28.0,33.1,82.0
2006-07-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,82.0,60.0,250.0,170.0,21.9,28.0,91.0
2006-07-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.07,0.0,0.0,91.0,61.0,250.0,250.0,25.9,31.1,66.0
2006-07-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.28,0.23,0.0,0.0,66.0,62.0,230.0,230.0,14.1,16.1,62.0
2006-07-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.72,0.75,0.0,0.0,62.0,56.0,320.0,320.0,19.9,23.9,83.0
2006-07-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.93,0.0,0.0,0.0,83.0,54.0,330.0,330.0,21.9,25.9,90.0
2006-07-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.5,0.0,0.0,0.0,90.0,59.0,300.0,310.0,23.0,29.1,94.0
2006-07-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.62,0.0,0.0,0.0,94.0,56.0,230.0,330.0,17.9,21.9,96.0
2006-07-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.17,0.0,0.0,0.0,96.0,63.0,330.0,310.0,17.0,23.0,98.0
2006-07-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,98.0,63.0,140.0,140.0,21.0,25.9,101.0
2006-07-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.2,0.0,0.0,0.0,101.0,67.0,210.0,140.0,25.9,33.1,103.0
2006-07-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.17,0.0,0.0,0.0,103.0,68.0,20.0,210.0,21.9,30.0,92.0
2006-07-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",13.65,0.0,0.0,0.0,92.0,70.0,160.0,160.0,44.1,51.9,98.0
2006-07-18,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.3,0.0,0.0,0.0,98.0,64.0,160.0,160.0,32.0,38.0,100.0
2006-07-19,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,100.0,69.0,350.0,10.0,25.9,33.1,92.0
